Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Matt Ryan,ATL,35,QB,16,16,4-12-0,407,626,65.0,4581,26,4.2,11,1.8,242,63,7.3,7.4,11.3,286.3,93.3,67.0,41,257,6.48,6.52,6.1,,
2,Tom Brady,TAM,43,QB,16,16,11-5-0,401,610,65.7,4633,40,6.6,12,2.0,233,50,7.6,8.0,11.6,289.6,102.2,72.5,21,143,7.12,7.53,3.3,3,3
3,Ben Roethlisberger,PIT,38,QB,15,15,12-3-0,399,608,65.6,3803,33,5.4,10,1.6,193,84,6.3,6.6,9.5,253.5,94.1,60.1,13,118,5.93,6.27,2.1,4,4
4,Justin Herbert,LAC,22,QB,15,15,6-9-0,396,595,66.6,4336,31,5.2,10,1.7,216,72,7.3,7.6,10.9,289.1,98.3,69.5,32,218,6.57,6.84,5.1,1,3
5,Patrick Mahomes *,KAN,25,QB,15,15,14-1-0,390,588,66.3,4740,38,6.5,6,1.0,238,75,8.1,8.9,12.2,316.0,108.2,82.9,22,147,7.53,8.33,3.6,3,3
6,Josh Allen *,BUF,24,QB,16,16,13-3-0,396,572,69.2,4544,37,6.5,10,1.7,228,55,7.9,8.5,11.5,284.0,107.2,81.7,26,159,7.33,7.82,4.3,2,3
7,Kyler Murray *,ARI,23,QB,16,16,8-8-0,375,558,67.2,3971,26,4.7,12,2.2,205,80,7.1,7.1,10.6,248.2,94.3,68.9,27,176,6.49,6.45,4.6,3,4
8,Russell Wilson *,SEA,32,QB,16,16,12-4-0,384,558,68.8,4212,40,7.2,13,2.3,213,62,7.5,7.9,11.0,263.3,105.1,73.5,47,301,6.46,6.82,7.8,3,3
9,Jared Goff,LAR,26,QB,15,15,9-6-0,370,552,67.0,3952,20,3.6,13,2.4,188,56,7.2,6.8,10.7,263.5,90.0,58.5,23,161,6.59,6.27,4.0,0,1
10,Deshaun Watson *,HOU,25,QB,16,16,4-12-0,382,544,70.2,4823,33,6.1,7,1.3,221,77,8.9,9.5,12.6,301.4,112.4,70.5,49,293,7.64,8.22,8.3,,
11,Philip Rivers,IND,39,QB,16,16,11-5-0,369,543,68.0,4169,24,4.4,11,2.0,200,55,7.7,7.7,11.3,260.6,97.0,62.5,19,118,7.21,7.18,3.4,2,3
12,Matthew Stafford,DET,32,QB,16,16,5-11-0,339,528,64.2,4084,26,4.9,10,1.9,205,73,7.7,7.9,12.0,255.3,96.3,68.4,38,254,6.77,6.89,6.7,3,4
13,Aaron Rodgers *+,GNB,37,QB,16,16,13-3-0,372,526,70.7,4299,48,9.1,5,1.0,216,78,8.2,9.6,11.6,268.7,121.5,84.4,20,182,7.54,8.89,3.7,1,2
14,Derek Carr,LVR,29,QB,16,16,8-8-0,348,517,67.3,4103,27,5.2,9,1.7,193,85,7.9,8.2,11.8,256.4,101.4,71.0,26,150,7.28,7.53,4.8,3,5
15,Kirk Cousins,MIN,32,QB,16,16,7-9-0,349,516,67.6,4265,35,6.8,13,2.5,212,71,8.3,8.5,12.2,266.6,105.0,63.2,39,256,7.22,7.43,7.0,1,3
16,Teddy Bridgewater,CAR,28,QB,15,15,4-11-0,340,492,69.1,3733,15,3.0,11,2.2,174,75,7.6,7.2,11.0,248.9,92.1,64.2,31,205,6.75,6.37,5.9,,
17,Baker Mayfield,CLE,25,QB,16,16,11-5-0,305,486,62.8,3563,26,5.3,8,1.6,188,75,7.3,7.7,11.7,222.7,95.9,72.2,26,162,6.64,6.96,5.1,2,2
18,Ryan Tannehill,TEN,32,QB,16,16,11-5-0,315,481,65.5,3819,33,6.9,7,1.5,202,75,7.9,8.7,12.1,238.7,106.5,78.3,24,173,7.22,7.90,4.8,5,6
19,Daniel Jones,NYG,23,QB,14,14,5-9-0,280,448,62.5,2943,11,2.5,10,2.2,148,53,6.6,6.1,10.5,210.2,80.4,61.5,45,286,5.39,4.92,9.1,0,0
20,Drew Lock,DEN,24,QB,13,13,4-9-0,254,443,57.3,2933,16,3.6,15,3.4,145,92,6.6,5.8,11.5,225.6,75.4,48.8,19,123,6.08,5.31,4.1,1,1
21,Carson Wentz,PHI,28,QB,12,12,3-8-1,251,437,57.4,2620,16,3.7,15,3.4,130,59,6.0,5.2,10.4,218.3,72.8,49.6,50,326,4.71,3.98,10.3,3,2
22,Joe Burrow,CIN,24,qb,10,10,2-7-1,264,404,65.3,2688,13,3.2,5,1.2,150,67,6.7,6.7,10.2,268.8,89.8,56.2,32,231,5.64,5.72,7.3,,
23,Drew Brees,NOR,41,QB,12,12,9-3-0,275,390,70.5,2942,24,6.2,6,1.5,149,52,7.5,8.1,10.7,245.2,106.4,74.6,13,89,7.08,7.60,3.2,1,3
24,Lamar Jackson,BAL,23,QB,15,15,11-4-0,242,376,64.4,2757,26,6.9,9,2.4,138,47,7.3,7.6,11.4,183.8,99.3,73.7,29,160,6.41,6.70,7.2,1,1
25,Cam Newton,NWE,31,QB,15,15,7-8-0,242,368,65.8,2657,8,2.2,10,2.7,133,50,7.2,6.4,11.0,177.1,82.9,47.0,31,195,6.17,5.44,7.8,1,3
26,Sam Darnold,NYJ,23,QB,12,12,2-10-0,217,364,59.6,2208,9,2.5,11,3.0,109,69,6.1,5.2,10.2,184.0,72.7,40.1,35,234,4.95,4.16,8.8,,
27,Andy Dalton,DAL,33,qb,11,9,4-5-0,216,333,64.9,2170,14,4.2,8,2.4,116,69,6.5,6.3,10.0,197.3,87.3,53.8,24,184,5.56,5.34,6.7,2,3
28,Gardner Minshew II,JAX,24,qb,9,8,1-7-0,216,327,66.1,2259,16,4.9,5,1.5,117,51,6.9,7.2,10.5,251.0,95.9,51.7,27,147,5.97,6.23,7.6,1,1
29,Nick Mullens,SFO,25,qb,10,8,2-6-0,211,326,64.7,2437,12,3.7,12,3.7,120,49,7.5,6.6,11.5,243.7,84.1,43.6,19,139,6.66,5.79,5.5,1,1
